K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.323686,0.554512,41.19,43.99,1000,10,1,0.30,0.30,2,36.78,39.06,3.94,4.36,76.14,82.64
2000,0.304877,0.537465,83.32,96.40,2000,10,1,0.30,0.30,2,75.37,87.91,6.84,7.24,143.80,160.32
3000,0.294599,0.528048,132.91,162.17,3000,10,1,0.30,0.30,2,120.55,149.71,10.74,10.74,228.00,257.11
4000,0.287552,0.521278,184.44,237.82,4000,10,1,0.30,0.30,2,167.98,221.28,14.14,14.14,309.40,362.72
5000,0.282009,0.516175,269.80,352.20,5000,10,1,0.30,0.30,2,248.09,330.78,18.74,18.19,435.53,512.72
6000,0.277202,0.511444,363.45,483.56,6000,10,1,0.30,0.30,2,337.41,457.75,22.74,22.37,564.82,681.48
7000,0.273184,0.507635,461.20,629.11,7000,10,1,0.30,0.30,2,430.01,598.08,27.17,26.46,701.66,862.70
8000,0.269744,0.504306,561.88,781.55,8000,10,1,0.30,0.30,2,526.57,746.76,30.86,30.20,835.12,1048.77
9000,0.266832,0.501479,663.12,939.36,9000,10,1,0.30,0.30,2,622.18,899.67,35.91,34.99,981.24,1249.60
10000,0.264533,0.499190,726.45,1065.74,10000,10,1,0.30,0.30,2,681.37,1021.78,39.66,38.47,1077.94,1406.48
