k,ARI,MSE,MAE,Purity,silhouette,AMI,homo,compl,V-measure,C_time,embedding time,total time
20,0.028077,0.9319,0.9648,0.161481,-0.115194,0.124037,0.126709,0.185334,0.150514,0.199889,7.47,7.669888945
40,0.047918,0.9211,0.9586,0.236802,-0.06097,0.203421,0.207787,0.224522,0.215831,0.259125,7.47,7.729124994
60,0.066615,0.9144,0.9549,0.287585,-0.102489,0.234071,0.270598,0.240299,0.25455,0.321073,7.47,7.791073055
80,0.055592,0.9085,0.9514,0.286983,-0.138956,0.210093,0.267395,0.217758,0.240037,0.363523,7.47,7.833523006
100,0.071593,0.9094,0.9519,0.328282,-0.157222,0.214868,0.29843,0.223831,0.255802,0.407742,7.47,7.877742023
120,0.064275,0.9007,0.9464,0.321608,-0.120593,0.214594,0.296495,0.225439,0.25613,0.432743,7.47,7.902743073
140,0.060085,0.8963,0.9442,0.340676,-0.140311,0.214193,0.31816,0.225512,0.263942,0.468006,7.47,7.938005896
160,0.061057,0.893,0.9416,0.350462,-0.135738,0.215199,0.326897,0.22798,0.268622,0.496489,7.47,7.966489048
180,0.067248,0.8898,0.9397,0.365967,-0.144054,0.224408,0.344681,0.238401,0.281855,0.508984,7.47,7.978984089
200,0.060591,0.8848,0.9362,0.364613,-0.142198,0.220503,0.349069,0.235908,0.281543,0.543025,7.47,8.013025017
