K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
20,0.112171,0.850599,0.92166,0.262746,0.83,4.36,0.2,0.2,3
40,0.131199,0.830279,0.910212,0.353974,1.03,6.62,0.2,0.2,3
60,0.130152,0.819009,0.903569,0.393517,1.14,7.19,0.2,0.2,3
80,0.12464,0.810515,0.898677,0.426034,1.73,0.93,0.2,0.2,33
100,0.118118,0.801374,0.893298,0.457547,1.34,9.28,0.2,0.2,3
120,0.114179,0.794883,0.888996,0.468902,1.75,0.95,0.2,0.2,3
140,0.106393,0.785994,0.883615,0.483842,1.26,1.23,0.2,0.2,3
160,0.100847,0.782322,0.881452,0.495132,2.09,1.18,0.2,0.2,3
180,0.098116,0.777058,0.87814,0.511592,1.63,1.63,0.2,0.2,3
200,0.091004,0.77229,0.875376,0.519872,2.13,2.11,0.2,0.2,3
